Ticker,H,c
VRSN,0.5013035292291858,1.1291543509859285
STLD,0.3283258474571943,1.9684283538167793
JBL,0.587238278458983,1.049016935662752
PFG,0.42062939389888077,1.440442690923179
IEX,0.3664226812780721,1.731112817852986
GPC,0.4735672908090235,1.240527155361452
MAS,0.6450599291662675,0.8687947760174384
SMCI,0.6438651214017801,1.067842818893556
KIM,0.4899653242172051,1.3306724396244818
EXPD,0.39031309890789323,1.4391183828414744
ARE,0.6183930766843116,0.817619439671918
EG,0.33002328064421554,1.5598449626674478
LNT,0.4965388316183928,1.1110878947292595
AVY,0.6042796178043081,0.8102064511377642
GEN,0.580726713492164,1.0711105812749622
BAX,0.3871599390239125,2.0063392003113623
L,0.7121672082057261,0.7320017381181451
VTRS,0.43617229855706724,1.5516422227976023
TPR,0.6063440105234718,0.9836565870127484
ALGN,0.33213886212446686,2.221144713909361
CF,0.4673787701265829,1.1579908820395834
DLTR,0.6319097590423359,1.005632163328924
DPZ,0.5621808587683884,0.9354274228953742
FFIV,0.7231399231474253,0.6958504692404062
AKAM,0.5884043207431755,1.05521600450826
TXT,0.6115607390985457,0.7496541058294428
SWKS,0.24577983611189616,2.513545656714914
EVRG,0.5430869016393827,1.042820925451319
EPAM,0.5441607036423433,1.0447034095670404
DOC,0.6018131219120529,0.9332423970895564
APTV,0.6144242742911981,0.8916489231159797
RVTY,0.547575606213951,1.0657231604067616
AMCR,0.5479909194863601,1.0706026316701152
JBHT,0.34760348409456177,1.7698124733654335
MRNA,0.6968751089478669,0.8359149109072583
POOL,0.34747695823064395,1.6422179093161065
ROL,0.5361388346732499,1.138336393804472
UDR,0.5392988257668295,1.1220049394962148
KMX,0.37961479744618615,1.6108079788521095
CAG,0.5041742762831689,1.5937232224961169
